OID_,World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Sailing Direction or Publication,Publication Link,Standard Nautical Chart,IHO S-57 Electronic Navigational Chart,IHO S-101 Electronic Navigational Chart,Digital Nautical Chart,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Liquified Natural Gas Terminal Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Offshore Maximum Vessel Length (m),Offshore Maximum Vessel Beam (m),Offshore Maximum Vessel Draft (m),Harbor Size,Harbor Type,Latitude,Longitude
1047,7970,United States E Coast -- 6585,Sayreville, ,US XNA,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,12332, , ,"a1707640, coa17c, h1707960",1.5,0,3.4,3.4,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),40.466667,-74.366667
1048,57230,Vanuatu -- 57160,Port Vila, ,VU VLI,Vanuatu,Coral Sea; South Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,82571, , ,"coa06d, gen06a, h0657230",1,0,11,23.2,9.4,1.8,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),-17.733333,168.316667
1049,7960,United States E Coast -- 6585,Perth Amboy, ,US PAY,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,12331, , ,"a1707640, coa17c, h1707960",1.5,0,11,7.9,7.9,11,0,0,0,0,0,0,0,Small,River (Natural),40.5,-74.266667
1050,8250,United States E Coast -- 6585,Yorktown, ,US YKW,United States,North Atlantic Ocean, ,U.S. Coast Pilot 3 - Atlantic Coast: Sandy Hook NJ to Cape Henry VA,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp3/CPB3_WEB.pdf,12241, , ,"a1708260, coa17d, gen17a, h1708250",0.6,0,11,9.4,4.9,11,0,0,0,0,0,0,0,Very Small,River (Natural),37.233333,-76.5
1051,7750,United States E Coast -- 6585,Edgewater, ,US EGW,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,12341, , ,"a1707640, coa17c, gen17a, h1707750",1.2,0,9.4,9.4,6.4,9.4,0,0,0,0,0,0,0,Very Small,River (Natural),40.816667,-73.983333
1052,57470,Thailand -- 57431,Ko Si Chang Terminal, ,TH KSI,Thailand,Gulf of Thailand; South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view,93244, , ,"a0357460, coa03e, gen03a, h0357460",1,0,23.2,15.5,11,15.5,0,0,0,0,0,0,0,Very Small,Open Roadstead,13.166667,100.816667
1053,48325,Bahrain -- 48305,Mina Salman,Khor Kaliya,BH MIN,Bahrain,Persian Gulf; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62453, , ,"a1048310, coa10m, gen10a, h1048325",2,0,14,14,14,0,0,0,0,0,0,0,0,Medium,Coastal (Natural),26.2,50.633333
1054,18040,United States W Coast -- 16000,Anacortes, ,US OTS,United States,Alaska-Canada coastal waters; North Pacific Ocean, ,U.S. Coast Pilot 10 - Oregon Washington Hawaii and Pacific Islands,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp10/CPB10_WEB.pdf,18427, , ,"a2618060, gen26b, h2618040",1.5,0,12.5,15.5,11,12.5,0,0,0,0,0,0,0,Small,Coastal (Natural),48.516667,-122.616667
1055,12775,Brazil SE Coast -- 12700,Madre De Deus, ,BR MDD,Brazil,South Atlantic Ocean, ,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub124bk.pdf&type=view,24202, , ,"a0112770, coa01f, gen01b",2,0,11,0,3.4,21.6,0,0,0,0,0,0,0,Very Small,Open Roadstead,-12.75,-38.616667
1056,5260,US Lake Superior -- 5230,Grand Marais, , ,United States,Lake Superior; Great Lakes, ,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp6/CPB6_WEB.pdf, , , ,gen28a,0,0,3.4,6.4,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),46.683333,-85.966667
1057,6780,United States E Coast -- 6585,Ellsworth, ,US ESR,United States,North Atlantic Ocean, ,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp1/CPB1_WEB.pdf,13316, , ,"a1806700, coa18b, gen18a",0,0,1.8,1.8,1.8,0,0,0,0,0,0,0,0,Very Small,River (Natural),44.55,-68.416667
1058,53710,Australia -- 53290,Jervis Bay, ,AU JEB,Australia,Tasman Sea; South Pacific Ocean, ,Sailing Directions Pub. 127 (Enroute) - East Coast of Australia and New Zealand,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub127bk.pdf&type=view,75251, , ,"a0553710, coa05b, gen05b",1,0,23.2,12.5,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),-35.116667,150.8
1059,6740,United States E Coast -- 6585,Frenchboro,Lunt Harbor,US F8O,United States,North Atlantic Ocean, ,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp1/CPB1_WEB.pdf,13313, , ,"a1806700, coa18b, gen18a",3.4,0,6.4,1.8,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),44.116667,-68.366667
1060,53750,Australia -- 53290,Batemans Bay, ,AU QBW,Australia,Tasman Sea; South Pacific Ocean, ,Sailing Directions Pub. 127 (Enroute) - East Coast of Australia and New Zealand,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub127bk.pdf&type=view,75251, , ,"coa05b, gen05b",1,0,15.5,9.4,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),-35.7,150.166667
1061,13050,Brazil SE Coast -- 12700,Laguna,Villa Laguna,BR LGA,Brazil,South Atlantic Ocean, ,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub124bk.pdf&type=view,24120, , ,"coa01f, gen01c",1,0,3.4,4.9,4.9,0,0,0,0,0,0,0,0,Very Small,River (Natural),-28.5,-48.783333
1062,19790,Alaska -- 19080,Kenai, ,US ENA,United States,Cook Inlet; Gulf of Alaska; North Pacific Ocean, ,U.S. Coast Pilot 9 - Alaska: Cape Spencer to Beaufort Sea - Beaufort Sea,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp9/CPB9_WEB.pdf,16662, , ,"a2519800, coa25d, gen25b, h2519790",5.5,0,0,6.4,0,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),60.55,-151.266667
1063,48392,Iraq -- 48375,Al-Basra Oil Terminal,Mina Al Bakr Terminal,IQ MAB,Iraq,Persian Gulf; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62434, , ,"a1048385, coa10n, gen10a",4,0,20.1,0,23.2,23.2,0,0,0,0,0,0,0,Very Small,Open Roadstead,29.683333,48.816667
1064,2110,Canada St Lawrence R -- 1930,La Baie (Port Alfred),Port Alfred,CA LBA,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,gen18b,6,0,9.4,23.2,11,9.4,0,0,0,0,0,0,0,Small,River (Natural),48.333333,-70.883333
1065,45660,Algeria -- 45470,Beni Saf, ,DZ BSF,Algeria,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view,52060, , ,"a0845670, coa08o, gen08b",0,0,0,18.6,7.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),35.3,-1.383333
1066,46487,Angola -- 46478,Malongo Oil Terminal, ,AO MAL,Angola,South Atlantic Ocean, ,Sailing Directions Pub. 123 (Enroute) - Southwest Coast of Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub123bk.pdf&type=view,57243, , ,"a0146490, coa01c, gen01b",2,0,0,23.2,0,23.2,0,0,0,0,0,0,0,Small,Open Roadstead,-5.433333,12.083333
1067,12485,Brazil NE Coast -- 12470,Porto Santana, ,BR STN,Brazil,South Atlantic Ocean, ,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub124bk.pdf&type=view, , , ,"a0712483, coa01d",3,0,9.4,21.6,9.4,6.4,0,0,0,0,0,0,0,Very Small,River (Natural),-0.05,-51.183333
1068,12750,Brazil SE Coast -- 12700,Porto De Maceio, ,BR MCZ,Brazil,South Atlantic Ocean, ,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub124bk.pdf&type=view, , , ,"a0112750, coa01f, gen01b, h0112750",3,0,7.9,14,9.4,9.4,0,0,0,0,0,0,0,Small,Coastal (Breakwater),-9.666667,-35.733333
1069,45910,Cape Verde -- 45869,Porto Da Praia, ,CV RAI,Cabo Verde,North Atlantic Ocean, ,Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub143bk.pdf&type=view,51540, , ,"coa01n, gen01a, h0145910",1,0,6.4,15.5,7.9,0,0,0,0,0,0,0,0,Small,Coastal (Breakwater),14.916667,-23.516667
1070,12770,Brazil SE Coast -- 12700,Port De Salvador,Bahia Salvador,BR SSA,Brazil,South Atlantic Ocean, ,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub124bk.pdf&type=view,24203, , ,"a0112770, coa01f, gen01b, h0112770",2,0,11,12.5,9.4,9.4,0,0,0,0,0,0,0,Medium,Coastal (Breakwater),-12.966667,-38.516667
1071,12910,Brazil SE Coast -- 12700,Porto Do Forno,Arraial Do Cabo; Arrail Do Caeo,BR FNO,Brazil,South Atlantic Ocean, ,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub124bk.pdf&type=view,24160, , ,"coa01f, gen01c",2,0,11,15.5,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),-22.966667,-42.016667
1072,46550,Angola -- 46540,Porto Do Ambriz, ,AO AZZ,Angola,South Atlantic Ocean, ,Sailing Directions Pub. 123 (Enroute) - Southwest Coast of Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub123bk.pdf&type=view,57260, , ,"coa01c, gen01b",1,0,3.4,4.9,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),-7.833333,13.1
1073,37290,Spain N Coast -- 37270,Puerto De Pasajes, ,ES PAS,Spain,Bay of Biscay; North Atlantic Ocean, ,Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub143bk.pdf&type=view,37032, , ,"a0837290, coa08c, gen08b, h0837290",5,0,9.4,23.2,11,0,0,0,0,0,0,0,0,Medium,River (Natural),43.333333,-1.933333
1074,12810,Brazil SE Coast -- 12700,Port Of Ilheus,Malhado; Porto De Ilheus; Sao Jorges Dos Ilheus,BR IOS,Brazil,South Atlantic Ocean, ,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub124bk.pdf&type=view, , , ,"a0112810, coa01f, gen01b, h0112810",2,0,9.4,11,7.9,6.4,0,0,0,0,0,0,0,Small,Coastal (Breakwater),-14.783333,-39.016667
1075,11430,Antigua and Barbuda -- 11426,St Johns, ,AG SJO,Antigua and Barbuda,Caribbean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 147 (Enroute) - Caribbean Sea - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub147bk.pdf&type=view,25575, , ,"a1411430, coa14h, gen14a, h1411430",0,0,9.4,15.5,14,12.5,0,0,0,0,0,0,0,Medium,Open Roadstead,17.116667,-61.85
1076,7910,United States E Coast -- 6585,Carteret, ,US CSF,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,"12331, 12333", , ,"a1707640, coa17c, h1707810",1.5,0,9.4,9.4,9.4,7.9,0,0,0,0,0,0,0,Small,River (Natural),40.583333,-74.216667
1077,7640,United States E Coast -- 6585,New York City, ,US NYC,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,"12334, 12335", , ,"a1707640, coa17c, gen17a, h1707640",1.5,0,12.5,12.5,12.5,14,0,0,0,0,0,0,0,Large,River (Natural),40.7,-74.016667
1078,7630,United States E Coast -- 6585,Brooklyn, ,US BOY,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,12334, , ,"a1707640, coa17c, gen17a, h1707640",1.5,0,12.5,12.5,12.5,11,0,0,0,0,0,0,0,Large,River (Natural),40.666667,-74.016667
1079,7625,United States E Coast -- 6585,City Island, ,US IS3,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,"12364, 12366", , ,"a1707640, coa17c, gen17a, h1707570",2.1,0,11,7.9,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),40.85,-73.783333
1080,62950,Russia -- 62530,Murmansk,Rosta,RU MMK,Russia,Barents Sea; Arctic Ocean, ,Sailing Directions Pub. 183 (Enroute) - North Coast of Russia,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub183bk.pdf&type=view,42768, , ,"a2262950, gen22c, h2262950",3,0,7.9,14,6.4,23.2,0,0,0,0,0,0,0,Large,River (Natural),68.983333,33.05
1081,62360,Japan -- 61100,Nagasaki, ,JP NGS,Japan,East China Sea; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97351, , ,"a2362360, coa23f, gen23a, h2362360",3,0,12.5,23.2,14,11,0,0,0,0,0,0,0,Large,Coastal (Natural),32.716667,129.85
1082,62280,Japan -- 61100,Misumi Ko,Kumamoto,JP MIS,Japan,East China Sea; North Pacific Ocean, ,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub158bk.pdf&type=view,97337, , ,"a2362280, coa23h, gen23a, h2362280",3,0,11,14,7.9,0,0,0,0,0,0,0,0,Small,Coastal (Natural),32.6,130.466667
1083,62220,Japan -- 61100,Kagoshima Ko, ,JP KOJ,Japan,East China Sea; North Pacific Ocean, ,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub158bk.pdf&type=view,97330, , ,"a2362220, coa23h, gen23a, h2362220",2,0,11,23.2,12.5,0,0,0,0,0,0,0,0,Medium,Coastal (Natural),31.583333,130.566667
1084,62150,Japan -- 61100,Beppu, ,JP BPU,Japan,Korea Strait; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,"97278, 97311", , ,"a2362150, coa23h, gen23a",2,0,23.2,23.2,12.5,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),33.316667,131.516667
1085,62145,Japan -- 61100,Kanda, ,JP KND,Japan,Korea Strait; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97273, , ,"a2361690, coa23h, gen23a",2,0,11,6.4,12.5,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),33.783333,131.016667
1086,62080,Japan -- 61100,Niihama, ,JP IHA,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97252, , ,"coa12c, gen12b, h1262080",3,0,6.4,18.6,14,0,0,0,0,0,0,0,0,Small,Coastal (Breakwater),33.983333,133.283333
1087,62065,Japan -- 61100,Muturezima Ko, ,JP MTR,Japan,Korea Strait; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,"97321, 97322", , ,"a2362120, coa23f, gen23a, h2361700",7,0,15.5,23.2,0,17.1,0,0,0,0,0,0,0,Small,Open Roadstead,33.966667,130.866667
1088,61870,Japan -- 61100,Niigata Ko,Niigata-nishi (West Port),JP KIJ,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,95279, , ,"a1261870, coa12a, gen12b",0,0,9.4,23.2,14,14,0,0,0,0,0,0,0,Medium,River (Basins),37.916667,139.05
1089,61800,Japan -- 61100,Maizuru Ko, ,JP MAI,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,95288, , ,"a1261800, coa12a, gen12b, h1261800",0,0,9.4,18.6,11,0,0,0,0,0,0,0,0,Small,Coastal (Natural),35.516667,135.333333
1090,61617,Japan -- 61100,Habu Ko, ,JP HAB,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97239, , ,"a1262070, coa12c, gen12b",0,0,7.9,11,9.4,9.4,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),34.283333,133.183333
1091,61590,Japan -- 61100,Hibi Ko, ,JP HIB,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,"97253, 97255", , ,"a1262110, coa12c, gen12b",2,0,12.5,7.9,0,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),34.45,133.933333
1092,61570,Japan -- 61100,Aioi, ,JP AIO,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97198, , ,"a1261567, coa12c, gen12b",1,0,6.4,6.4,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),34.783333,134.466667
1093,61567,Japan -- 61100,Himeji,Himezi,JP HIM,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,97198, , ,"a1261567, coa12c, gen12b, h1261567",1,0,15.5,15.5,12.5,20.1,0,0,0,0,0,0,0,Medium,Coastal (Breakwater),34.75,134.633333
1094,61560,Japan -- 61100,Kobe, ,JP UKB,Japan,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub159bk.pdf&type=view,"97191, 97197", , ,"a1261550, coa12c, gen12b, h1261560",2,0,14,15.5,14,14,0,0,0,0,0,0,0,Large,Open Roadstead,34.65,135.183333
1095,59190,Philippine Islands -- 57960,Iloilo, ,PH ILO,Philippines,Philippine inland seas; North Pacific Ocean, ,Sailing Directions Pub. 162 (Enroute) - Philippine Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub162bk.pdf&type=view,92356, , ,"a1159130, coa11g, gen11a, h1159190",3,0,7.9,23.2,9.4,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,10.7,122.583333
1096,58960,Philippine Islands -- 57960,Cebu, ,PH CEB,Philippines,Philippine inland seas; North Pacific Ocean, ,Sailing Directions Pub. 162 (Enroute) - Philippine Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub162bk.pdf&type=view,92383, , ,"a1158960, coa11g, gen11a, h1158960",2,0,9.4,14,9.4,6.4,0,0,0,0,0,0,0,Large,Coastal (Breakwater),10.3,123.9
1097,58410,Philippine Islands -- 57960,Masinloc, ,PH MSC,Philippines,South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 162 (Enroute) - Philippine Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub162bk.pdf&type=view,91240, , ,"coa23i, gen23b, h2358410",1,0,12.5,21.6,9.4,9.4,0,0,0,0,0,0,0,Very Small,Coastal (Natural),15.55,119.95
1098,57840,Hong Kong -- 57835,Hong Kong, ,HK HKG,Hong Kong,South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view,93736, , ,"a2357840, coa23c, gen23b, h2357840",1,0,14,18.6,14,17.1,0,0,0,0,0,0,0,Large,Coastal (Natural),22.266667,114.2
1099,57680,Vietnam -- 57510,Hai Phong, ,VN HPH,Vietnam,Gulf of Tonkin; South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view,93620, , ,"coa23a, gen23b",4,0,6.4,11,9.4,3.4,0,0,0,0,0,0,0,Small,River (Natural),20.916667,106.683333
1100,61372,Japan -- 61100,Kisarazu Ko, ,JP KZU,Japan,North Pacific Ocean, ,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub158bk.pdf&type=view,97132, , ,"a1261400, coa12b, gen12b, h1261372",2,0,18.6,14,18.6,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),35.366667,139.883333
1101,61320,Japan -- 61100,Ofunato, ,JP OFO,Japan,North Pacific Ocean, ,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub158bk.pdf&type=view,97050, , ,"a1261320, coa24n, gen24b, h1261320",1,0,14,17.1,7.9,11,0,0,0,0,0,0,0,Small,Coastal (Natural),39.05,141.733333
1102,61290,Japan -- 61100,Miyako,Miyako Ko,JP MYK,Japan,North Pacific Ocean, ,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub158bk.pdf&type=view,97050, , ,"coa24n, gen24b",1,0,15.5,15.5,11,0,0,0,0,0,0,0,0,Small,Coastal (Breakwater),39.633333,141.983333
1103,52065,Sulawesi -- 51970,Bitung, ,ID BIT,Indonesia,Molucca Sea; North Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view, , , ,"coa11j, gen11b, h1152065",4,0,7.9,23.2,9.4,7.9,0,0,0,0,0,0,0,Very Small,Coastal (Natural),1.433333,125.183333
1104,51845,Indonesia - Borneo -- 51760,Lawi Lawi Oil Terminal, ,ID LLA,Indonesia,Makassar Strait; South Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view,72100, , ,"a0451840, coa04c, gen04c",2,0,0,21.6,0,21.6,0,0,0,0,0,0,0,Small,Open Roadstead,-1.45,116.766667
1105,51840,Indonesia - Borneo -- 51760,Balikpapan, ,ID BPN,Indonesia,Makassar Strait; South Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view,72100, , ,"a0451840, coa04c, gen04c, h0451840",9,0,12.5,12.5,11,11,0,0,0,0,0,0,0,Small,Coastal (Natural),-1.25,116.816667
1106,51620,Brunei -- 51610,Muara Harbor,Brooketon,BN MUA,Brunei,South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view,71335, , ,"a1151680, coa11c, gen11b, h1151620",3,0,7.9,9.4,7.9,7.9,0,0,0,0,0,0,0,Small,Coastal (Natural),5.033333,115.066667
1107,51600,Sarawak -- 51550,Lutong, ,MY LUT,Malaysia,South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view,71340, , ,"a1151590, coa11c, gen11b",4,0,21.6,7.9,0,12.5,0,0,0,0,0,0,0,Small,Open Roadstead,4.466667,114
1108,48300,Qatar -- 48285,Al Rayyan Terminal, ,QA RYN,Qatar,Persian Gulf; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62550, , ,"coa10m, gen10a",2,0,23.2,23.2,0,20.1,0,0,0,0,0,0,0,Very Small,Open Roadstead,26.65,51.55
